Player Name,Format,Image,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2010,9,194,174,8,24.2,111.5,53,1,0,5,9,36.2
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2011,1,14,10,1,14,140,14,0,0,2,0,20
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2012,10,178,157,9,19.8,113.4,39,0,0,13,4,33.8
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2013,6,85,67,5,17,126.9,36,0,0,10,2,40.3
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2014,6,140,89,5,28,157.3,69,1,0,15,4,29.2
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2015,6,160,123,6,26.7,130.1,51,1,0,22,2,41.5
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2016,8,201,110,7,28.7,182.7,71,2,0,12,16,32.7
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2017,7,304,200,6,50.7,152,65,2,0,24,12,26.5
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2008,6,95,98,5,19,96.9,26,0,0,5,1,39.8
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2009,13,465,355,9,51.7,131,105,3,1,39,12,30.4
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2010,7,111,119,7,15.9,93.3,45,0,0,7,0,36.1
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2011,14,343,268,10,34.3,128,65,2,0,22,16,33.6
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2012,13,319,198,8,39.9,161.1,64,3,0,26,15,27.3
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2013,18,497,294,13,38.2,169,77,3,0,45,23,25.9
